archetype,dose,seed,v5_side,outcome,reward_v5,reward_arch,score_v5,score_arch,steps,status_v5,status_arch,seconds
half_drainer,1,20115,1,v5,1,-1,2750.0,0.0,94,DONE,DONE,9.9
half_drainer,1,20109,1,v5,1,-1,9369.0,0.0,231,DONE,DONE,28.5
half_drainer,1,20119,1,v5,1,-1,8448.0,0.0,132,DONE,DONE,13.5
half_drainer,3,20004,0,v5,1,-1,1737.0,0.0,74,DONE,DONE,5.1
half_drainer,3,20002,0,v5,1,-1,4938.0,0.0,122,DONE,DONE,10.5
half_drainer,3,20008,0,v5,1,-1,679.0,0.0,105,DONE,DONE,6.7
half_drainer,3,20003,1,v5,1,-1,1583.0,0.0,114,DONE,DONE,12.9
half_drainer,3,20007,1,v5,1,-1,3224.0,0.0,110,DONE,DONE,8.0
half_drainer,3,20006,0,v5,1,-1,3124.0,0.0,124,DONE,DONE,13.6
half_drainer,3,20010,0,v5,1,-1,647.0,0.0,73,DONE,DONE,4.5
half_drainer,3,20005,1,v5,1,-1,2366.0,0.0,85,DONE,DONE,7.6
half_drainer,3,20011,1,v5,1,-1,3770.0,0.0,123,DONE,DONE,13.4
half_drainer,3,20012,0,v5,1,-1,4030.0,0.0,110,DONE,DONE,12.2
half_drainer,3,20009,1,v5,1,-1,1663.0,0.0,143,DONE,DONE,10.0
half_drainer,3,20015,1,v5,1,-1,1128.0,0.0,95,DONE,DONE,10.0
half_drainer,3,20016,0,v5,1,-1,1582.0,0.0,110,DONE,DONE,6.5
half_drainer,3,20017,1,v5,1,-1,3936.0,0.0,115,DONE,DONE,8.5
half_drainer,3,20013,1,v5,1,-1,3793.0,0.0,120,DONE,DONE,15.1
half_drainer,3,20014,0,v5,1,-1,4185.0,0.0,109,DONE,DONE,13.6
half_drainer,3,20021,1,v5,1,-1,391.0,0.0,89,DONE,DONE,5.2
half_drainer,3,20019,1,v5,1,-1,5233.0,0.0,122,DONE,DONE,15.3
half_drainer,3,20024,0,v5,1,-1,1818.0,0.0,78,DONE,DONE,5.4
half_drainer,3,20020,0,v5,1,-1,3357.0,0.0,126,DONE,DONE,9.1
half_drainer,3,20023,1,v5,1,-1,3153.0,0.0,128,DONE,DONE,12.2
half_drainer,3,20018,0,v5,1,-1,5240.0,0.0,124,DONE,DONE,11.0
half_drainer,3,20022,0,v5,1,-1,8986.0,0.0,133,DONE,DONE,16.0
