opp,seed,side,variant,win,tie,reward,margin,steps
producer,40013,0,ens,1,0,1.0,1591.0,115
producer,40012,1,single,0,0,-1.0,-2469.0,195
producer,40013,0,single,0,0,-1.0,-2004.0,140
producer,40013,1,single,1,0,1.0,1515.0,146
producer,40013,1,ens,1,0,1.0,2297.0,106
producer,40014,0,single,1,0,1.0,1438.0,115
producer,40014,0,ens,1,0,1.0,2120.0,136
producer,40015,1,single,0,0,-1.0,-1877.0,116
producer,40014,1,single,0,0,-1.0,-1903.0,136
producer,40014,1,ens,1,0,1.0,1634.0,155
producer,40016,0,single,1,0,1.0,2119.0,120
producer,40015,0,single,0,0,-1.0,-1269.0,196
producer,40015,0,ens,1,0,1.0,1643.0,209
producer,40015,1,ens,1,0,1.0,1944.0,208
producer,40016,0,ens,1,0,1.0,2815.0,139
producer,40017,0,single,0,0,-1.0,-1662.0,127
producer,40016,1,single,1,0,1.0,1704.0,208
producer,40017,1,single,1,0,1.0,1751.0,164
producer,40017,0,ens,1,0,1.0,3579.0,127
producer,40018,0,single,0,0,-1.0,-1842.0,117
producer,40017,1,ens,1,0,1.0,1810.0,135
producer,40018,1,single,1,0,1.0,1875.0,136
producer,40018,1,ens,1,0,1.0,1459.0,98
producer,40018,0,ens,0,0,-1.0,-878.0,128
producer,40019,1,single,1,0,1.0,1537.0,116
producer,40019,1,ens,1,0,1.0,2124.0,114
producer,40020,0,ens,1,0,1.0,567.0,93
producer,40019,0,single,0,0,-1.0,-2196.0,159
producer,40019,0,ens,0,0,-1.0,-1918.0,167
producer,40016,1,ens,0,0,-1.0,-565.0,499
producer,40020,0,single,0,0,-1.0,-886.0,201
producer,40020,1,single,1,0,1.0,2295.0,165
producer,40020,1,ens,1,0,1.0,987.0,110
producer,40021,1,single,1,0,1.0,2269.0,149
producer,40021,0,ens,1,0,1.0,749.0,159
producer,40021,0,single,0,0,-1.0,-2375.0,160
producer,40022,1,single,1,0,1.0,1229.0,117
producer,40022,0,single,1,0,1.0,1924.0,150
producer,40022,0,ens,1,0,1.0,1564.0,132
producer,40021,1,ens,1,0,1.0,1782.0,162
producer,40022,1,ens,0,0,-1.0,-2098.0,112
producer,40023,0,single,1,0,1.0,1172.0,161
producer,40023,0,ens,0,0,-1.0,-1488.0,136
producer,40024,1,single,1,0,1.0,2103.0,125
producer,40023,1,ens,1,0,1.0,3406.0,102
producer,40023,1,single,1,0,1.0,2626.0,118
producer,40024,0,single,1,0,1.0,1088.0,176
producer,40025,0,single,0,0,-1.0,-1239.0,157
producer,40024,1,ens,1,0,1.0,2236.0,184
producer,40024,0,ens,0,0,-1.0,-2758.0,149
producer,40026,0,single,1,0,1.0,1801.0,126
producer,40025,1,single,0,0,-1.0,-844.0,151
producer,40025,0,ens,1,0,1.0,2449.0,146
producer,40025,1,ens,0,0,-1.0,-1165.0,114
producer,40027,0,single,0,0,-1.0,-3181.0,129
producer,40026,1,ens,1,0,1.0,803.0,136
producer,40026,1,single,1,0,1.0,1675.0,200
producer,40027,1,ens,1,0,1.0,2002.0,129
producer,40027,1,single,0,0,-1.0,-1600.0,173
producer,40028,0,single,1,0,1.0,1027.0,123
producer,40027,0,ens,0,0,-1.0,-1867.0,154
producer,40028,0,ens,0,0,-1.0,-2378.0,113
producer,40028,1,single,1,0,1.0,655.0,171
producer,40029,0,single,0,0,-1.0,-1283.0,132
producer,40026,0,ens,0,1,1.0,0.0,499
producer,40029,1,single,1,0,1.0,1274.0,109
producer,40029,0,ens,1,0,1.0,2562.0,182
producer,40030,0,single,1,0,1.0,2175.0,137
producer,40028,1,ens,0,0,-1.0,-2106.0,216
producer,40029,1,ens,1,0,1.0,820.0,178
producer,40030,0,ens,1,0,1.0,1777.0,112
producer,40031,0,single,1,0,1.0,2081.0,185
producer,40031,1,single,1,0,1.0,1408.0,166
producer,40031,0,ens,1,0,1.0,2611.0,146
producer,40030,1,single,1,0,1.0,735.0,196
producer,40030,1,ens,0,0,-1.0,-1442.0,222
producer,40031,1,ens,1,0,1.0,2456.0,117
producer,40032,0,single,0,0,-1.0,-1410.0,196
producer,40032,0,ens,1,0,1.0,2020.0,150
producer,40033,1,single,1,0,1.0,2089.0,148
producer,40032,1,ens,0,0,-1.0,-1474.0,150
producer,40033,1,ens,0,0,-1.0,-1614.0,133
producer,40033,0,ens,0,0,-1.0,-1755.0,223
producer,40033,0,single,1,0,1.0,1900.0,262
producer,40034,0,single,1,0,1.0,1350.0,118
producer,40034,1,ens,1,0,1.0,626.0,102
producer,40032,1,single,0,0,-1.0,-17986.0,414
producer,40035,0,ens,0,0,-1.0,-1197.0,91
producer,40034,0,ens,0,0,-1.0,-1141.0,221
producer,40034,1,single,1,0,1.0,3400.0,152
producer,40035,0,single,1,0,1.0,2070.0,146
producer,40035,1,single,0,0,-1.0,-1627.0,127
producer,40036,0,single,1,0,1.0,896.0,117
producer,40036,0,ens,1,0,1.0,1797.0,135
producer,40035,1,ens,1,0,1.0,1058.0,121
producer,40036,1,single,0,0,-1.0,-1814.0,138
producer,40037,0,single,0,0,-1.0,-1788.0,140
producer,40037,1,single,1,0,1.0,872.0,135
producer,40036,1,ens,1,0,1.0,1390.0,190
producer,40038,1,single,1,0,1.0,2731.0,148
producer,40039,0,single,1,0,1.0,1851.0,113
producer,40037,0,ens,1,0,1.0,2175.0,215
producer,40037,1,ens,1,0,1.0,1215.0,187
producer,40038,0,single,0,0,-1.0,-1237.0,164
producer,40038,1,ens,1,0,1.0,2342.0,121
producer,40038,0,ens,0,0,-1.0,-2144.0,141
producer,40039,1,single,1,0,1.0,2664.0,118
producer,40040,0,ens,1,0,1.0,1482.0,118
