opp,seed,side,variant,win,tie,reward,margin,steps
distance_1100,41005,0,ens,1,0,1.0,4526.0,128
distance_1100,41005,1,ens,1,0,1.0,3249.0,111
distance_1100,41006,1,ens,1,0,1.0,3494.0,123
distance_1100,41006,0,ens,1,0,1.0,3285.0,111
distance_1100,41007,0,ens,1,0,1.0,1390.0,118
distance_1100,41007,1,single,1,0,1.0,3415.0,130
distance_1100,41007,0,single,1,0,1.0,3043.0,125
distance_1100,41007,1,ens,1,0,1.0,3972.0,119
distance_1100,41008,0,single,1,0,1.0,4153.0,107
distance_1100,41008,1,ens,1,0,1.0,2956.0,112
distance_1100,41008,0,ens,1,0,1.0,2167.0,97
distance_1100,41008,1,single,1,0,1.0,2290.0,107
distance_1100,41009,0,single,1,0,1.0,2369.0,87
distance_1100,41010,0,single,1,0,1.0,2636.0,99
distance_1100,41009,1,ens,1,0,1.0,1932.0,110
distance_1100,41009,1,single,1,0,1.0,3744.0,97
distance_1100,41009,0,ens,1,0,1.0,3116.0,154
distance_1100,41010,0,ens,1,0,1.0,2597.0,82
distance_1100,41010,1,single,1,0,1.0,3480.0,144
distance_1100,41011,0,single,1,0,1.0,3375.0,130
distance_1100,41011,0,ens,1,0,1.0,3829.0,116
distance_1100,41011,1,single,1,0,1.0,3396.0,116
distance_1100,41012,0,single,1,0,1.0,3520.0,108
distance_1100,41011,1,ens,1,0,1.0,3505.0,139
distance_1100,41010,1,ens,1,0,1.0,2356.0,117
distance_1100,41012,0,ens,1,0,1.0,3351.0,133
distance_1100,41012,1,single,1,0,1.0,3465.0,101
distance_1100,41013,1,ens,1,0,1.0,3142.0,107
distance_1100,41014,0,single,1,0,1.0,2910.0,107
distance_1100,41013,1,single,1,0,1.0,3137.0,122
distance_1100,41013,0,single,1,0,1.0,2943.0,92
distance_1100,41013,0,ens,1,0,1.0,2168.0,115
distance_1100,41012,1,ens,1,0,1.0,7248.0,127
distance_1100,41014,1,single,1,0,1.0,4106.0,121
distance_1100,41015,1,single,1,0,1.0,1918.0,88
distance_1100,41014,0,ens,1,0,1.0,3684.0,120
distance_1100,41014,1,ens,1,0,1.0,2820.0,133
distance_1100,41015,0,single,1,0,1.0,2492.0,112
distance_1100,41015,1,ens,1,0,1.0,2140.0,126
distance_1100,41016,1,ens,1,0,1.0,1727.0,86
distance_1100,41015,0,ens,1,0,1.0,4069.0,107
distance_1100,41016,0,single,1,0,1.0,2857.0,120
distance_1100,41016,0,ens,1,0,1.0,4017.0,102
distance_1100,41017,0,single,1,0,1.0,1886.0,96
distance_1100,41017,1,single,1,0,1.0,2335.0,101
distance_1100,41016,1,single,1,0,1.0,3405.0,108
distance_1100,41017,0,ens,1,0,1.0,2911.0,115
distance_1100,41018,1,single,1,0,1.0,2810.0,102
distance_1100,41018,0,ens,1,0,1.0,1456.0,106
distance_1100,41018,1,ens,1,0,1.0,2853.0,111
distance_1100,41017,1,ens,1,0,1.0,2229.0,169
distance_1100,41019,0,single,1,0,1.0,1962.0,112
distance_1100,41018,0,single,1,0,1.0,2191.0,99
distance_1100,41019,0,ens,1,0,1.0,2087.0,90
distance_1100,41019,1,single,1,0,1.0,2775.0,95
distance_1100,41020,0,ens,1,0,1.0,2809.0,110
