archetype,dose,seed,v5_side,outcome,reward_v5,reward_arch,score_v5,score_arch,steps,status_v5,status_arch,seconds
swarmer,3,20056,0,v5,1,-1,1141.0,0.0,86,DONE,DONE,6.2
swarmer,3,20059,1,v5,1,-1,4453.0,0.0,155,DONE,DONE,13.6
swarmer,3,20060,0,v5,1,-1,8168.0,0.0,143,DONE,DONE,12.3
swarmer,3,20055,1,v5,1,-1,2356.0,0.0,149,DONE,DONE,15.3
swarmer,3,20058,0,v5,1,-1,4723.0,0.0,140,DONE,DONE,17.1
swarmer,3,20057,1,v5,1,-1,4664.0,0.0,190,DONE,DONE,22.0
swarmer,3,20054,0,v5,1,-1,4631.0,0.0,139,DONE,DONE,18.7
swarmer,3,20061,1,v5,1,-1,1802.0,0.0,137,DONE,DONE,8.5
swarmer,3,20062,0,v5,1,-1,2573.0,0.0,119,DONE,DONE,7.8
swarmer,3,20065,1,v5,1,-1,3352.0,0.0,107,DONE,DONE,12.5
swarmer,3,20063,1,v5,1,-1,6872.0,0.0,148,DONE,DONE,20.3
swarmer,3,20064,0,v5,1,-1,4788.0,0.0,150,DONE,DONE,19.5
swarmer,3,20066,0,v5,1,-1,5014.0,0.0,140,DONE,DONE,16.7
swarmer,3,20068,0,v5,1,-1,9897.0,0.0,139,DONE,DONE,10.6
swarmer,3,20069,1,v5,1,-1,6461.0,0.0,139,DONE,DONE,12.0
swarmer,3,20070,0,v5,1,-1,2276.0,0.0,106,DONE,DONE,11.7
swarmer,3,20067,1,v5,1,-1,786.0,0.0,246,DONE,DONE,18.5
swarmer,3,20071,1,v5,1,-1,2620.0,0.0,125,DONE,DONE,13.4
swarmer,3,20073,1,v5,1,-1,3874.0,0.0,159,DONE,DONE,14.3
swarmer,3,20076,0,v5,1,-1,2334.0,0.0,142,DONE,DONE,8.8
swarmer,3,20074,0,v5,1,-1,1766.0,0.0,134,DONE,DONE,13.2
swarmer,3,20072,0,v5,1,-1,2855.0,0.0,97,DONE,DONE,12.3
swarmer,3,20078,0,v5,1,-1,4875.0,0.0,104,DONE,DONE,10.2
swarmer,3,20075,1,v5,1,-1,4624.0,0.0,118,DONE,DONE,8.4
swarmer,3,20082,0,v5,1,-1,2060.0,0.0,85,DONE,DONE,7.4
swarmer,3,20077,1,v5,1,-1,4908.0,0.0,167,DONE,DONE,24.1
